episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
239,-0.3,0.9959,0.8376,8,1,,,
240,1.55,1.058,0.8366,14,11,,,
241,-0.7,1.0462,0.8362,3,0,,,
242,14.9,1.1081,0.8355,9,18,,,
243,41.65,1.1057,0.8345,8,45,,,
244,15.6,0.9737,0.8338,10,19,,,
245,-0.4,1.093,0.8328,11,2,,,
246,4.2,1.0586,0.8322,8,8,,,
247,94.9,1.0917,0.8314,10,99,,,
248,11.65,1.2073,0.8305,12,16,,,
249,63.3,1.0225,0.8298,8,72,,,
250,-0.6,1.4587,0.8295,3,0,,,
251,8.15,1.2164,0.8287,10,11,,,
252,6.75,1.1237,0.8277,10,10,,,
253,2.75,1.1467,0.8267,14,7,,,
254,3.7,1.21,0.8259,9,6,,,
255,-1.25,1.142,0.8254,5,0,,,
256,4.35,1.1414,0.8251,2,5,,,
257,2.15,1.1453,0.8241,11,4,,,
258,28.55,1.1029,0.823,15,37,,,
259,32.25,1.0982,0.8221,12,39,,,
260,-0.7,1.2978,0.8211,11,3,,,
261,20.1,1.1698,0.8203,10,24,,,
262,8.8,1.384,0.8197,8,11,,,
263,3.25,1.1428,0.8189,9,5,,,
264,-1.45,1.0173,0.8185,6,1,,,
265,-1.5,1.2944,0.818,5,0,,,
266,7.8,1.1772,0.8173,8,10,,,
267,-0.2,1.3791,0.8172,1,0,,,
268,4.75,1.1634,0.8166,6,6,,,
269,11.3,1.1856,0.8157,12,16,,,
270,3.25,1.2831,0.8149,11,7,,,
271,32.25,1.2023,0.8143,5,37,,,
272,5.75,1.0468,0.8138,4,7,,,
273,9.7,0.8226,0.8133,5,11,,,
274,9.6,1.2536,0.8124,9,12,,,
275,0.3,0.999,0.8114,10,2,,,
276,32.1,1.2081,0.8104,13,37,,,
277,62.4,1.2238,0.8096,14,67,,,
278,17.65,1.1412,0.8085,14,22,,,
279,-0.25,1.2726,0.8075,10,3,,,
280,10.0,0.7915,0.807,8,12,,,
281,1.05,1.066,0.8062,11,4,,,
282,32.85,1.1234,0.8052,10,39,,,
283,6.5,1.1429,0.8042,13,10,,,
284,-1.2,1.2895,0.8037,7,0,,,
285,0.3,1.2957,0.8032,7,2,,,
286,3.15,0.9211,0.8024,7,5,,,
