episode,reward,loss,mean_q,epsilon,steps,slices,covered,hard_total,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
143,8.148688,1.857609,8.664604,0.92894,3,1,0,0,,,,,,,,
127,21.487391,1.732333,8.664604,0.92818,20,1,0,0,,,,,,,,
144,4.159918,1.54221,8.664604,0.927547,4,1,0,0,,,,,,,,
146,8.757628,1.693415,9.206287,0.926913,4,1,0,0,,,,,,,,
149,-0.797969,2.531613,9.206287,0.926407,1,1,0,0,,,,,,,,
139,7.450745,0.0,9.499462,0.925837,14,1,0,0,,,,,,,,
140,22.334145,0.0,9.499462,0.92571,14,1,0,0,,,,,,,,
150,-0.816853,1.693698,9.73815,0.924887,3,1,0,0,,,,,,,,
135,28.397281,0.0,9.73815,0.92457,20,1,0,0,,,,,,,,
151,14.719706,0.0,10.359382,0.924317,3,1,0,0,,,,,,,,
147,35.386666,1.961292,10.359382,0.924127,8,1,0,0,,,,,,,,
155,-0.042238,0.0,10.920803,0.92381,1,1,0,0,,,,,,,,
137,115.833047,0.0,10.977685,0.92343,20,1,0,0,,,,,,,,
153,21.200555,2.263885,10.977685,0.922353,5,1,0,0,,,,,,,,
145,13.732937,1.862278,10.936537,0.92172,15,1,0,0,,,,,,,,
152,8.571371,0.0,10.936537,0.921657,8,1,0,0,,,,,,,,
148,46.726368,2.119352,10.936537,0.92096,13,1,0,0,,,,,,,,
160,4.930516,2.002052,10.936537,0.920707,2,1,0,0,,,,,,,,
161,0.009539,0.0,10.936537,0.920643,2,1,0,0,,,,,,,,
154,14.018098,0.0,10.936537,0.920517,8,1,0,0,,,,,,,,
163,3.40718,1.442406,11.035123,0.919693,2,1,0,0,,,,,,,,
157,5.395797,0.0,11.035123,0.91925,9,1,0,0,,,,,,,,
156,54.828243,2.090993,11.035123,0.91906,10,1,0,0,,,,,,,,
164,6.621009,0.0,11.035123,0.918617,4,1,0,0,,,,,,,,
162,8.575091,1.688459,11.035123,0.918427,5,1,0,0,,,,,,,,
168,4.238472,2.924059,11.035123,0.918047,2,1,0,0,,,,,,,,
159,62.089734,1.979482,11.035123,0.917793,9,1,0,0,,,,,,,,
169,13.131555,0.0,11.035123,0.917603,2,1,0,0,,,,,,,,
167,19.838345,0.0,11.035123,0.917223,4,1,0,0,,,,,,,,
166,20.422189,1.956379,11.035123,0.91716,5,1,0,0,,,,,,,,
173,-0.047969,0.0,11.035123,0.917097,1,1,0,0,,,,,,,,
171,1.56154,2.222378,11.035123,0.917033,2,1,0,0,,,,,,,,
165,32.015979,0.0,11.035123,0.91697,7,1,0,0,,,,,,,,
170,5.057529,2.315574,11.035123,0.9164,4,1,0,0,,,,,,,,
172,17.872065,2.540185,11.035123,0.916273,3,1,0,0,,,,,,,,
176,3.409702,0.0,11.035123,0.916083,2,1,0,0,,,,,,,,
179,-0.042231,1.437603,11.035123,0.915893,1,1,0,0,,,,,,,,
180,8.750221,2.881598,11.035123,0.91526,2,1,0,0,,,,,,,,
175,29.219248,1.921408,11.035123,0.914627,5,1,0,0,,,,,,,,
158,51.744307,0.0,11.035123,0.91431,18,1,0,0,,,,,,,,
177,3.220024,2.498576,11.035123,0.912473,9,1,0,0,,,,,,,,
185,15.93225,0.0,10.922816,0.911777,5,1,0,0,,,,,,,,
187,-0.042238,0.0,11.205122,0.91127,1,1,0,0,,,,,,,,
174,9.167169,0.0,11.205122,0.910637,13,1,0,0,,,,,,,,
188,16.503414,0.0,11.097323,0.909243,4,1,0,0,,,,,,,,
186,38.175052,1.815702,11.097323,0.908927,7,1,0,0,,,,,,,,
182,21.813954,2.045253,11.097323,0.9088,14,1,0,0,,,,,,,,
184,4.719748,2.269818,11.114899,0.908547,12,1,0,0,,,,,,,,
183,3.280773,2.176376,11.114899,0.908167,14,1,0,0,,,,,,,,
178,113.238635,0.0,11.223006,0.906837,20,1,0,0,,,,,,,,
193,1.245983,2.762399,11.223006,0.90652,4,1,0,0,,,,,,,,
195,-0.042227,0.0,11.223006,0.90633,1,1,0,0,,,,,,,,
190,2.500424,0.0,11.217136,0.906203,6,1,0,0,,,,,,,,
181,0.205018,0.0,11.217136,0.90595,20,1,0,0,,,,,,,,
191,45.735347,2.533623,11.217136,0.905887,6,1,0,0,,,,,,,,
197,-0.042231,0.0,11.217136,0.905823,1,1,0,0,,,,,,,,
201,-0.047969,0.0,11.217136,0.905317,1,1,0,0,,,,,,,,
194,3.304708,2.461308,11.237554,0.905127,6,1,0,0,,,,,,,,
198,12.399117,0.0,11.237554,0.904177,4,1,0,0,,,,,,,,
196,6.496496,2.660571,11.237554,0.903987,5,1,0,0,,,,,,,,
203,12.63253,1.966429,11.237554,0.903607,3,1,0,0,,,,,,,,
199,13.310101,0.0,11.237554,0.90291,6,1,0,0,,,,,,,,
206,11.46049,2.03239,11.382113,0.90158,4,1,0,0,,,,,,,,
189,7.600719,0.0,11.382113,0.900503,20,1,0,0,,,,,,,,
204,16.585902,0.0,11.382113,0.900123,8,1,0,0,,,,,,,,
205,19.643381,2.372518,11.424297,0.899427,9,1,0,0,,,,,,,,
200,24.021616,2.381659,11.424297,0.8993,13,1,0,0,,,,,,,,
192,133.342718,2.460931,11.424297,0.899173,19,1,0,0,,,,,,,,
210,13.132808,0.0,11.479521,0.898603,3,1,0,0,,,,,,,,
212,6.698797,2.218021,11.479521,0.897273,4,1,0,0,,,,,,,,
209,24.378813,0.0,11.479521,0.896957,7,1,0,0,,,,,,,,
211,14.808093,2.354736,11.479521,0.896387,6,1,0,0,,,,,,,,
202,114.642485,0.0,11.479521,0.896197,18,1,0,0,,,,,,,,
214,4.001465,0.0,11.479521,0.89607,5,1,0,0,,,,,,,,
216,9.865749,0.0,11.479521,0.895943,2,1,0,0,,,,,,,,
215,10.171912,2.325743,11.479521,0.895753,3,1,0,0,,,,,,,,
221,-0.047969,3.441228,11.479521,0.895247,1,1,0,0,,,,,,,,
213,20.113709,2.264071,11.479521,0.89512,8,1,0,0,,,,,,,,
220,0.912939,0.0,11.479521,0.89493,2,1,0,0,,,,,,,,
217,3.532438,2.295791,11.479521,0.894867,3,1,0,0,,,,,,,,
223,-0.042238,2.438697,11.479521,0.894613,1,1,0,0,,,,,,,,
226,-0.047969,2.44073,11.5674,0.894107,1,1,0,0,,,,,,,,
224,0.207285,0.0,11.890018,0.893917,2,1,0,0,,,,,,,,
225,-0.881139,3.039112,11.890018,0.893347,3,1,0,0,,,,,,,,
229,-0.042227,1.363732,12.106304,0.89284,1,1,0,0,,,,,,,,
207,45.02442,0.0,12.106304,0.892777,20,1,0,0,,,,,,,,
208,62.775824,2.464034,12.26823,0.89246,18,1,0,0,,,,,,,,
218,43.000216,0.0,12.26823,0.891637,9,1,0,0,,,,,,,,
232,5.032018,2.497414,12.26823,0.891447,2,1,0,0,,,,,,,,
233,-0.042238,0.0,12.26823,0.89113,1,1,0,0,,,,,,,,
219,45.849541,0.0,12.26823,0.890497,11,1,0,0,,,,,,,,
234,5.017435,2.378956,12.26823,0.88942,4,1,0,0,,,,,,,,
227,19.151205,2.779108,12.793715,0.888533,11,1,0,0,,,,,,,,
235,44.460148,0.0,13.04173,0.887583,7,1,0,0,,,,,,,,
228,4.233905,0.0,13.04173,0.886823,14,1,0,0,,,,,,,,
231,35.485746,0.0,13.04173,0.886697,12,1,0,0,,,,,,,,
240,-0.047969,0.0,13.04173,0.886317,1,1,0,0,,,,,,,,
237,54.365464,2.744853,13.04173,0.885367,8,1,0,0,,,,,,,,
222,57.395566,2.651387,13.04173,0.885113,20,1,0,0,,,,,,,,
238,52.015922,2.760878,12.981128,0.88296,11,1,0,0,,,,,,,,
242,10.458241,0.0,12.981128,0.88277,7,1,0,0,,,,,,,,
230,2.527776,2.968549,12.981128,0.882707,20,1,0,0,,,,,,,,
247,-0.047969,2.648444,12.981128,0.8822,1,1,0,0,,,,,,,,
248,-0.042231,4.057317,12.775866,0.881693,1,1,0,0,,,,,,,,
236,30.435083,0.0,12.947882,0.880363,20,1,0,0,,,,,,,,
244,47.36249,2.443798,13.287148,0.879033,12,1,0,0,,,,,,,,
245,5.087837,2.783432,13.287148,0.878907,8,1,0,0,,,,,,,,
250,5.713077,0.0,13.084521,0.878843,3,1,0,0,,,,,,,,
239,-2.546308,0.0,13.084521,0.87745,20,1,0,0,,,,,,,,
252,8.184351,2.859197,13.084521,0.877387,3,1,0,0,,,,,,,,
253,4.350915,0.0,13.084521,0.877323,3,1,0,0,,,,,,,,
246,60.971869,0.0,13.084521,0.877197,11,1,0,0,,,,,,,,
249,-0.280541,2.683396,13.084521,0.877133,9,1,0,0,,,,,,,,
254,-0.042238,0.0,13.084521,0.876943,1,1,0,0,,,,,,,,
255,-0.042231,3.106115,13.084521,0.87688,1,1,0,0,,,,,,,,
241,37.161545,0.0,13.121301,0.876563,20,1,0,0,,,,,,,,
243,66.011555,2.704071,13.376931,0.87574,19,1,0,0,,,,,,,,
256,19.514397,0.0,13.40195,0.875297,4,1,0,0,,,,,,,,
261,8.258157,0.0,13.40195,0.875043,3,1,0,0,,,,,,,,
257,18.59148,0.0,13.394318,0.874157,6,1,0,0,,,,,,,,
264,6.201807,0.0,13.394318,0.87403,2,1,0,0,,,,,,,,
266,-0.047969,0.0,13.394318,0.873523,1,1,0,0,,,,,,,,
259,52.540159,0.0,13.308258,0.87289,8,1,0,0,,,,,,,,
268,4.341057,0.0,13.503706,0.871877,2,1,0,0,,,,,,,,
262,24.432584,2.357091,13.517751,0.87118,9,1,0,0,,,,,,,,
270,7.101862,2.317579,13.636747,0.870167,2,1,0,0,,,,,,,,
267,9.261321,0.0,13.636747,0.869977,7,1,0,0,,,,,,,,
272,-0.047969,0.0,13.636747,0.86947,1,1,0,0,,,,,,,,
269,20.572529,0.0,13.636747,0.869343,5,1,0,0,,,,,,,,
258,34.791126,2.79827,13.765752,0.869027,16,1,0,0,,,,,,,,
251,32.32634,2.875255,13.765752,0.8689,20,1,0,0,,,,,,,,
263,1.185179,0.0,13.765752,0.86871,13,1,0,0,,,,,,,,
276,-0.047958,4.322412,13.765752,0.868393,1,1,0,0,,,,,,,,
274,2.575877,0.0,13.815907,0.867823,3,1,0,0,,,,,,,,
273,11.858893,0.0,13.6811,0.867443,4,1,0,0,,,,,,,,
279,-0.042227,0.0,13.6811,0.867317,1,1,0,0,,,,,,,,
280,-0.047969,0.0,13.6811,0.866937,1,1,0,0,,,,,,,,
260,5.617296,3.084931,13.6811,0.866747,20,1,0,0,,,,,,,,
278,8.541313,2.842656,13.6811,0.866367,4,1,0,0,,,,,,,,
265,74.497371,0.0,13.6811,0.86605,16,1,0,0,,,,,,,,
282,0.637099,0.0,13.6811,0.865923,2,1,0,0,,,,,,,,
286,2.322868,0.0,13.6811,0.86491,2,1,0,0,,,,,,,,
287,-0.047969,0.0,13.645424,0.864403,1,1,0,0,,,,,,,,
281,42.98958,0.0,13.645424,0.863263,8,1,0,0,,,,,,,,
285,6.266799,0.0,13.865692,0.861997,8,1,0,0,,,,,,,,
271,1.202849,2.72522,13.857036,0.861553,17,1,0,0,,,,,,,,
275,102.515202,3.337415,13.760461,0.860413,17,1,0,0,,,,,,,,
283,90.967957,3.128128,13.760461,0.86016,13,1,0,0,,,,,,,,
292,4.320328,3.77196,13.720432,0.858893,3,1,0,0,,,,,,,,
289,-0.847247,0.0,13.720432,0.858703,9,1,0,0,,,,,,,,
277,9.332004,0.0,13.784556,0.858577,20,1,0,0,,,,,,,,
