episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
307,9.9,1.0021,0.789,10,15,,,
308,1.4,0.9084,0.7887,2,2,,,
309,28.7,0.9676,0.7877,9,38,,,
310,16.65,0.9368,0.7868,12,27,,,
311,10.3,0.8487,0.7864,5,16,,,
312,-2.55,1.0348,0.7857,11,12,,,
313,-1.95,0.9447,0.7849,9,0,,,
314,-2.1,1.1711,0.7839,12,0,,,
315,21.15,1.1176,0.7834,6,27,,,
316,-0.45,1.123,0.7831,3,0,,,
317,7.95,0.9101,0.7827,7,12,,,
318,29.2,0.9892,0.7817,15,40,,,
319,4.8,1.0415,0.7811,6,9,,,
320,-0.45,0.9205,0.7808,3,0,,,
321,-0.7,0.9053,0.7799,12,8,,,
322,-2.85,0.7123,0.7788,11,0,,,
323,-2.1,0.9771,0.7778,13,0,,,
324,9.35,1.0614,0.7769,14,20,,,
325,22.05,1.143,0.7759,14,30,,,
326,2.15,0.9379,0.7749,13,5,,,
327,21.3,1.0899,0.7739,12,30,,,
328,-4.8,0.9695,0.7733,8,3,,,
329,-1.95,1.0322,0.7728,6,3,,,
330,5.75,1.0379,0.7724,4,8,,,
331,5.85,1.0991,0.7721,5,9,,,
332,-0.15,1.0105,0.7716,1,0,,,
333,37.55,1.163,0.771,10,44,,,
334,-2.7,0.8247,0.77,11,6,,,
335,3.35,0.8881,0.7694,8,11,,,
336,0.3,1.1849,0.7685,11,6,,,
337,-1.15,0.9383,0.7675,9,2,,,
338,4.55,1.2725,0.7674,1,5,,,
339,-0.75,1.0401,0.7669,5,0,,,
340,-1.4,0.9624,0.7661,9,1,,,
341,-3.05,0.879,0.7651,11,4,,,
342,-0.8,0.9714,0.7644,7,7,,,
343,3.4,0.8306,0.764,6,13,,,
344,16.7,0.9675,0.7629,13,23,,,
345,18.7,0.9604,0.7622,9,25,,,
346,-4.6,0.9291,0.7614,9,2,,,
347,-0.75,1.1408,0.761,4,0,,,
348,14.95,1.0246,0.7606,6,19,,,
349,-1.5,0.7959,0.7599,9,0,,,
350,15.8,1.0543,0.7589,9,20,,,
351,-3.2,0.9873,0.7581,10,1,,,
352,0.15,1.0723,0.7571,15,3,,,
353,2.95,1.1346,0.7562,14,10,,,
354,15.5,0.9113,0.7552,14,35,,,
355,0.65,1.0083,0.7543,9,8,,,
356,17.35,0.9495,0.7533,13,25,,,
357,1.6,0.9719,0.7524,9,13,,,
358,0.65,0.7621,0.7518,7,2,,,
359,-1.5,0.8833,0.7515,3,0,,,
360,1.9,0.9553,0.751,8,7,,,
361,-1.95,0.9973,0.7502,9,0,,,
362,3.4,1.132,0.7496,6,7,,,
363,12.1,0.9588,0.7489,10,19,,,
364,-0.2,0.9071,0.7479,11,7,,,
365,29.7,0.874,0.7469,12,39,,,
366,-2.35,1.0306,0.7459,13,5,,,
367,27.35,1.0098,0.7449,10,38,,,
368,25.4,0.9963,0.7443,8,29,,,
369,0.95,0.9856,0.7439,6,5,,,
370,4.9,0.9329,0.7431,8,7,,,
371,26.55,0.7752,0.7424,9,42,,,
372,14.35,0.974,0.7417,8,19,,,
373,-1.1,1.107,0.7413,5,1,,,
374,37.4,0.7254,0.7403,14,50,,,
375,-0.4,0.8821,0.7394,8,2,,,
376,24.6,0.8353,0.7389,7,33,,,
377,-0.75,1.0262,0.7384,6,3,,,
378,-2.1,1.0754,0.7376,7,0,,,
379,20.05,0.963,0.7366,14,31,,,
380,5.1,0.9177,0.7358,8,9,,,
381,4.15,0.9357,0.7348,10,7,,,
382,-3.0,0.8992,0.7342,8,3,,,
383,1.35,0.9699,0.7332,14,9,,,
