episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
284,-1.0,1.3178,0.8037,2,0.0,,,
285,0.0,0.9815,0.8032,4,2.0,,,
286,6.5,0.9929,0.8024,5,9.0,,,
287,9.5,1.1497,0.8019,3,11.0,,,
288,-0.5,0.0,0.8018,1,0.0,,,
289,0.0,1.0255,0.8012,6,3.0,,,
290,3.0,0.7598,0.8004,6,6.0,,,
291,0.0,1.0216,0.8001,0,0.0,,,
292,-3.0,0.989,0.7991,6,0.0,,,
293,10.0,0.9494,0.7984,6,13.0,,,
294,15.5,0.854,0.7978,7,19.0,,,
295,-1.0,1.1687,0.7975,2,0.0,,,
296,0.5,0.7975,0.7966,5,3.0,,,
297,0.0,1.2541,0.7964,0,0.0,,,
298,14.5,0.9216,0.7957,5,17.0,,,
299,0.0,0.7464,0.7954,0,0.0,,,
300,-1.5,1.0091,0.7947,7,2.0,,,
301,-3.5,0.9209,0.7938,7,0.0,,,
302,16.0,0.9719,0.7932,4,18.0,,,
303,-1.5,1.0008,0.7921,5,1.0,,,
304,-2.0,1.0023,0.7914,4,0.0,,,
305,43.0,1.0582,0.7908,8,47.0,,,
306,14.5,0.9525,0.7898,11,20.0,,,
307,17.5,1.0258,0.789,9,22.0,,,
308,-1.0,0.9967,0.7887,2,0.0,,,
309,47.5,1.053,0.7877,11,53.0,,,
310,11.5,0.9373,0.7868,3,13.0,,,
311,0.0,1.2897,0.7864,2,1.0,,,
312,4.0,0.8033,0.7857,6,7.0,,,
313,-0.5,1.1268,0.7849,7,3.0,,,
314,-5.0,0.8568,0.7839,10,0.0,,,
315,26.5,1.0187,0.7834,3,28.0,,,
316,-1.0,1.2142,0.7831,2,0.0,,,
317,0.0,1.042,0.7827,2,1.0,,,
318,37.5,1.1656,0.7817,9,42.0,,,
319,9.5,0.7799,0.7811,7,13.0,,,
320,-2.0,0.9456,0.7808,4,0.0,,,
321,-1.0,0.9939,0.7799,4,1.0,,,
322,-3.0,1.148,0.7788,6,0.0,,,
323,-3.5,1.1253,0.7778,7,0.0,,,
324,10.0,1.0117,0.7769,8,14.0,,,
325,14.0,0.8614,0.7759,8,18.0,,,
326,2.5,1.1365,0.7749,9,7.0,,,
327,2.5,1.089,0.7739,5,5.0,,,
328,3.0,1.0572,0.7733,4,5.0,,,
329,0.5,1.0328,0.7728,5,3.0,,,
330,3.5,1.116,0.7724,3,5.0,,,
331,0.0,1.1733,0.7721,2,1.0,,,
332,-1.0,0.7842,0.7716,6,2.0,,,
333,12.0,0.967,0.771,4,14.0,,,
334,-3.0,0.8798,0.77,8,1.0,,,
335,7.5,0.9572,0.7694,7,11.0,,,
336,-1.5,1.0425,0.7685,9,3.0,,,
337,-4.0,0.9906,0.7675,10,1.0,,,
338,0.0,0.8627,0.7674,0,0.0,,,
339,-1.0,0.8114,0.7669,2,0.0,,,
340,-2.5,0.9621,0.7661,7,1.0,,,
341,3.0,1.0393,0.7651,10,8.0,,,
342,2.0,0.8443,0.7644,4,4.0,,,
343,3.0,1.2679,0.764,4,5.0,,,
344,8.5,0.9356,0.7629,9,13.0,,,
345,26.5,1.0523,0.7622,7,30.0,,,
346,1.5,1.03,0.7614,7,5.0,,,
347,9.5,0.7698,0.761,3,11.0,,,
348,9.0,0.8972,0.7606,2,10.0,,,
349,-2.0,1.1316,0.7599,4,0.0,,,
350,14.5,1.0632,0.7589,11,20.0,,,
351,-3.5,1.0133,0.7581,9,1.0,,,
352,-2.0,0.9885,0.7571,4,0.0,,,
353,0.5,1.0437,0.7562,7,4.0,,,
354,27.5,0.9309,0.7552,7,31.0,,,
355,1.5,0.9103,0.7543,7,5.0,,,
356,6.5,0.966,0.7533,5,9.0,,,
357,15.0,0.8923,0.7524,10,20.0,,,
358,-0.5,1.0161,0.7518,1,0.0,,,
359,0.0,0.7899,0.7515,2,1.0,,,
360,1.0,1.0854,0.751,6,4.0,,,
361,-3.5,0.8519,0.7502,7,0.0,,,
362,3.0,0.9756,0.7496,4,5.0,,,
363,1.0,0.9011,0.7489,6,4.0,,,
364,10.0,0.829,0.7479,10,15.0,,,
365,28.0,1.0751,0.7469,10,33.0,,,
366,0.0,1.0171,0.7459,6,3.0,,,
367,23.5,0.8874,0.7449,11,29.0,,,
368,26.5,0.8719,0.7443,5,29.0,,,
369,-0.5,1.0811,0.7439,1,0.0,,,
370,9.5,1.0085,0.7431,7,13.0,,,
371,20.0,0.9754,0.7424,8,24.0,,,
372,4.5,1.0357,0.7417,7,8.0,,,
373,-0.5,0.9055,0.7413,1,0.0,,,
374,16.5,1.1073,0.7403,7,20.0,,,
375,0.5,0.8556,0.7394,7,4.0,,,
376,18.0,0.9596,0.7389,4,20.0,,,
377,7.5,1.2247,0.7384,3,9.0,,,
